Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afAFaakl	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	10	l	d.02m.02
afAFaakn	10	8	8	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	10	n	d.02m.02
afAFaalh	10	5	5	1	1	31	0	0	ColonyNewVersion	onelarge_noh	5	11	h	d.02m.02
afAFaall	10	4	4	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	11	l	d.02m.02
afAFaaln	10	4	4	3	3	34	0	0	ColonyNewVersion	onelarge_noh	5	11	n	d.02m.02
afAFaamh	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	12	h	d.02m.02
afAFaaml	10	7	7	1	1	31	0	0	ColonyNewVersion	onelarge_noh	5	12	l	d.02m.02
afAFaamn	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	12	n	d.02m.02
afAFaanh	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	13	h	d.02m.02
afAFaanl	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	13	l	d.02m.02
afAFaann	10	5	5	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	13	n	d.02m.02
afAFaaoh	10	5	5	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	14	h	d.02m.02
afAFaaol	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	14	l	d.02m.02
afAFaaon	10	6	6	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	14	n	d.02m.02
afAFaaph	10	4	4	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	15	h	d.02m.02
afAFaapl	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	15	l	d.02m.02
afAFaapn	10	6	6	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	15	n	d.02m.02
afAGaabh	10	9	9	0	0	30	0	0	ColonyNewVersion	onelarge_wh	5	1	h	d.02m.02
afAGaabl	10	10	10	2	2	33	0	0	ColonyNewVersion	onelarge_wh	5	1	l	d.02m.02
afAGaabn	10	10	10	2	2	33	0	0	ColonyNewVersion	onelarge_wh	5	1	n	d.02m.02
afAGaach	10	12	12	3	3	34	0	0	ColonyNewVersion	onelarge_wh	5	2	h	d.02m.02
afAGaacl	10	8	8	4	4	35	0	0	ColonyNewVersion	onelarge_wh	5	2	l	d.02m.02
afAGaacn	10	12	12	5	5	36	0	0	ColonyNewVersion	onelarge_wh	5	2	n	d.02m.02
afAGaadh	10	10	10	2	2	31	0	0	ColonyNewVersion	onelarge_wh	5	3	h	d.02m.02
afAGaadl	10	9	9	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	3	l	d.02m.02
afAGaadn	10	13	13	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	3	n	d.02m.02
afAGaaeh	10	11	11	5	5	37	0	0	ColonyNewVersion	onelarge_wh	5	4	h	d.02m.02
afAGaael	10	14	14	3	3	34	0	0	ColonyNewVersion	onelarge_wh	5	4	l	d.02m.02
afAGaaen	10	16	16	5	5	37	0	0	ColonyNewVersion	onelarge_wh	5	4	n	d.02m.02
afAGaafh	10	10	10	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	5	h	d.02m.02
afAGaafl	10	15	15	9	9	40	0	0	ColonyNewVersion	onelarge_wh	5	5	l	d.02m.02
afAGaafn	10	8	8	1	1	31	0	0	ColonyNewVersion	onelarge_wh	5	5	n	d.02m.02
afAGaagh	10	12	12	4	4	35	0	0	ColonyNewVersion	onelarge_wh	5	6	h	d.02m.02
afAGaagl	10	15	15	10	10	43	0	0	ColonyNewVersion	onelarge_wh	5	6	l	d.02m.02
afAGaagn	10	11	11	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	6	n	d.02m.02
afAGaahh	10	11	11	5	5	36	0	0	ColonyNewVersion	onelarge_wh	5	7	h	d.02m.02
afAGaahl	10	14	14	6	6	37	0	0	ColonyNewVersion	onelarge_wh	5	7	l	d.02m.02
afAGaahn	10	12	12	4	4	34	0	0	ColonyNewVersion	onelarge_wh	5	7	n	d.02m.02
afAGaaih	10	7	7	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	8	h	d.02m.02
afAGaail	10	5	5	1	1	31	0	0	ColonyNewVersion	onelarge_wh	5	8	l	d.02m.02
afAGaain	10	9	9	1	1	31	0	0	ColonyNewVersion	onelarge_wh	5	8	n	d.02m.02
afAGaajh	10	15	15	7	7	38	0	0	ColonyNewVersion	onelarge_wh	5	9	h	d.02m.02
afAGaajl	10	16	16	12	12	44	0	0	ColonyNewVersion	onelarge_wh	5	9	l	d.02m.02
afAGaajn	10	17	17	11	11	43	0	0	ColonyNewVersion	onelarge_wh	5	9	n	d.02m.02
afAGaakh	10	10	10	4	4	34	0	0	ColonyNewVersion	onelarge_wh	5	10	h	d.02m.02
afAGaakl	10	11	11	5	5	36	0	0	ColonyNewVersion	onelarge_wh	5	10	l	d.02m.02
afAGaakn	10	12	12	6	6	37	0	0	ColonyNewVersion	onelarge_wh	5	10	n	d.02m.02
afAGaalh	10	8	8	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	11	h	d.02m.02
afAGaall	10	6	6	1	1	31	0	0	ColonyNewVersion	onelarge_wh	5	11	l	d.02m.02
afAGaaln	10	11	11	3	3	34	0	0	ColonyNewVersion	onelarge_wh	5	11	n	d.02m.02
afAGaamh	10	12	12	6	6	38	0	0	ColonyNewVersion	onelarge_wh	5	12	h	d.02m.02
afAGaaml	10	11	11	4	4	34	0	0	ColonyNewVersion	onelarge_wh	5	12	l	d.02m.02
afAGaamn	10	8	8	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	12	n	d.02m.02
afAGaanh	10	11	11	6	6	37	0	0	ColonyNewVersion	onelarge_wh	5	13	h	d.02m.02
afAGaanl	10	15	15	6	6	37	0	0	ColonyNewVersion	onelarge_wh	5	13	l	d.02m.02
afAGaann	10	16	16	8	8	40	0	0	ColonyNewVersion	onelarge_wh	5	13	n	d.02m.02
afAGaaoh	10	11	11	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	14	h	d.02m.02
afAGaaol	10	11	11	3	3	34	0	0	ColonyNewVersion	onelarge_wh	5	14	l	d.02m.02
afAGaaon	10	14	14	3	3	34	0	0	ColonyNewVersion	onelarge_wh	5	14	n	d.02m.02
afAGaaph	10	12	12	7	7	36	0	0	ColonyNewVersion	onelarge_wh	5	15	h	d.02m.02
afAGaapl	10	14	14	9	9	41	0	0	ColonyNewVersion	onelarge_wh	5	15	l	d.02m.02
afAGaapn	10	11	11	2	2	32	0	0	ColonyNewVersion	onelarge_wh	5	15	n	d.02m.02
afAHaabh	10	14	14	8	8	43	0	0	ColonyNewVersion	sfs_noh	5	1	h	d.02m.02
afAHaabl	10	11	11	6	6	46	0	0	ColonyNewVersion	sfs_noh	5	1	l	d.02m.02
afAHaabn	10	7	7	4	4	46	0	0	ColonyNewVersion	sfs_noh	5	1	n	d.02m.02
afAHaach	10	15	15	13	13	48	0	0	ColonyNewVersion	sfs_noh	5	2	h	d.02m.02
afAHaacl	10	14	14	10	10	47	0	0	ColonyNewVersion	sfs_noh	5	2	l	d.02m.02
afAHaacn	10	14	14	9	9	44	0	0	ColonyNewVersion	sfs_noh	5	2	n	d.02m.02
afAHaadh	10	15	15	9	9	45	0	0	ColonyNewVersion	sfs_noh	5	3	h	d.02m.02
afAHaadl	10	11	11	6	6	42	0	0	ColonyNewVersion	sfs_noh	5	3	l	d.02m.02
afAHaadn	10	10	10	3	3	42	0	0	ColonyNewVersion	sfs_noh	5	3	n	d.02m.02
afAHaaeh	10	14	14	10	10	45	0	0	ColonyNewVersion	sfs_noh	5	4	h	d.02m.02
afAHaael	10	12	12	10	10	42	0	0	ColonyNewVersion	sfs_noh	5	4	l	d.02m.02
afAHaaen	10	9	9	6	6	48	0	0	ColonyNewVersion	sfs_noh	5	4	n	d.02m.02
afAHaafh	10	13	13	9	9	44	0	0	ColonyNewVersion	sfs_noh	5	5	h	d.02m.02
afAHaafl	10	12	12	9	9	42	0	0	ColonyNewVersion	sfs_noh	5	5	l	d.02m.02
afAHaafn	10	10	10	7	7	42	0	0	ColonyNewVersion	sfs_noh	5	5	n	d.02m.02
afAHaagh	10	16	16	11	11	44	0	0	ColonyNewVersion	sfs_noh	5	6	h	d.02m.02
afAHaagl	10	12	12	7	7	45	0	0	ColonyNewVersion	sfs_noh	5	6	l	d.02m.02
afAHaagn	10	9	9	7	7	46	0	0	ColonyNewVersion	sfs_noh	5	6	n	d.02m.02
