Scenario	NumAlleles	Number	GenoError	Code	NumLoc	gtyp.err.assumption	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Minutes
sfs_noh	10	5	l	akAHaafl	5	d0m0	11	11	10	10	42	0	0	2.73333
sfs_noh	10	5	n	akAHaafn	5	d0m0	13	13	10	10	46	0	0	2.90000
sfs_wh	10	1	h	akAIaabh	5	d0m0	15	15	8	8	47	0	0	2.45000
sfs_wh	10	1	l	akAIaabl	5	d0m0	14	14	7	7	45	0	0	2.73333
sfs_wh	10	1	n	akAIaabn	5	d0m0	13	13	6	6	47	0	0	2.91667
sfs_wh	10	2	h	akAIaach	5	d0m0	19	19	13	13	43	0	0	2.98333
sfs_wh	10	2	l	akAIaacl	5	d0m0	16	16	10	10	43	0	0	3.38333
sfs_wh	10	2	n	akAIaacn	5	d0m0	10	10	4	4	42	0	0	2.70000
sfs_wh	10	3	h	akAIaadh	5	d0m0	21	21	17	17	51	0	0	2.46667
sfs_wh	10	3	l	akAIaadl	5	d0m0	5	5	2	2	43	0	0	2.65000
sfs_wh	10	3	n	akAIaadn	5	d0m0	7	7	5	5	44	0	0	2.25000
sfs_wh	10	4	h	akAIaaeh	5	d0m0	16	16	13	13	53	0	0	2.70000
sfs_wh	10	4	l	akAIaael	5	d0m0	10	10	5	5	46	0	0	2.45000
sfs_wh	10	4	n	akAIaaen	5	d0m0	9	9	6	6	50	0	0	2.46667
sfs_wh	10	5	h	akAIaafh	5	d0m0	20	20	14	14	43	0	0	2.53333
sfs_wh	10	5	l	akAIaafl	5	d0m0	13	13	9	9	43	0	0	2.81667
sfs_wh	10	5	n	akAIaafn	5	d0m0	7	7	3	3	45	0	0	2.55000
slfsg_noh	10	1	h	akAJaabh	5	d0m0	19	19	17	17	58	0	0	2.28333
slfsg_noh	10	1	l	akAJaabl	5	d0m0	4	4	1	1	55	0	0	2.60000
slfsg_noh	10	1	n	akAJaabn	5	d0m0	4	4	3	3	61	0	0	2.38333
slfsg_noh	10	2	h	akAJaach	5	d0m0	23	23	19	19	55	0	0	2.50000
slfsg_noh	10	2	l	akAJaacl	5	d0m0	6	6	3	3	55	0	0	2.63333
slfsg_noh	10	2	n	akAJaacn	5	d0m0	3	3	0	0	55	0	0	2.78333
slfsg_noh	10	3	h	akAJaadh	5	d0m0	21	21	20	20	55	0	0	2.65000
slfsg_noh	10	3	l	akAJaadl	5	d0m0	12	12	8	8	58	0	0	2.68333
slfsg_noh	10	3	n	akAJaadn	5	d0m0	2	2	1	1	55	0	0	2.36667
slfsg_noh	10	4	h	akAJaaeh	5	d0m0	21	21	18	18	58	0	0	2.88333
slfsg_noh	10	4	l	akAJaael	5	d0m0	9	9	7	7	55	0	0	2.66667
slfsg_noh	10	4	n	akAJaaen	5	d0m0	3	3	1	1	55	0	0	3.08333
slfsg_noh	10	5	h	akAJaafh	5	d0m0	31	31	28	28	57	0	0	2.33333
slfsg_noh	10	5	l	akAJaafl	5	d0m0	13	13	10	10	56	0	0	2.91667
slfsg_noh	10	5	n	akAJaafn	5	d0m0	2	2	0	0	55	0	0	2.53333
slfsg_wh	10	1	h	akAKaabh	5	d0m0	17	17	12	12	55	0	0	2.81667
slfsg_wh	10	1	l	akAKaabl	5	d0m0	15	15	9	9	55	0	0	2.50000
slfsg_wh	10	1	n	akAKaabn	5	d0m0	6	6	0	0	55	0	0	3.33333
slfsg_wh	10	2	h	akAKaach	5	d0m0	12	12	10	10	55	0	0	2.55000
